col1,col2,col3,col4
0.000000000000000000e+00,1.012682361471534565e+00,1.000000000000000000e+00,2.733678601109503781e-01
3.030303030303030387e-02,1.449374921734873256e+00,9.995408983105884548e-01,4.366850083999177512e-01
6.060606060606060774e-02,1.685887877081624797e+00,9.981640147910760819e-01,2.405685484814628072e-01
9.090909090909091161e-02,1.888541798697109586e+00,9.958706137005628456e-01,1.824441052031600119e-01
1.212121212121212155e-01,2.522838802552437532e+00,9.926628008476789944e-01,9.681107115278442254e-02
1.515151515151515194e-01,2.501993909134113458e+00,9.885435216570246375e-01,5.186185638263707265e-02
1.818181818181818232e-01,2.791636157800889251e+00,9.835165584646711201e-01,9.086043951139912700e-01
2.121212121212121271e-01,2.305316951253413293e+00,9.775865270452067657e-01,3.399903565373060266e-01
2.424242424242424310e-01,2.808713620728260363e+00,9.707588723735174341e-01,2.817241482148734599e-01
2.727272727272727071e-01,2.738556894612043990e+00,9.630398636251922273e-01,5.400063807170016883e-01
3.030303030303030387e-01,3.163783512681033194e+00,9.544365884201448935e-01,1.079663216147859206e-01
3.333333333333333703e-01,3.441111310157199732e+00,9.449569463147377002e-01,6.213141959994090691e-01
3.636363636363636465e-01,3.807710024929383152e+00,9.346096415483817754e-01,7.092693397097065144e-01
3.939393939393939226e-01,3.665979502269316015e+00,9.234041750512754776e-01,4.540845717862396214e-02
4.242424242424242542e-01,3.473819330600749211e+00,9.113508357206177024e-01,1.218737229348576534e-01
4.545454545454545858e-01,3.754306065355660138e+00,8.984606909733078295e-01,3.376058045628701487e-01
4.848484848484848619e-01,4.314739975969468233e+00,8.847455765838063702e-01,6.777916574253700643e-01
5.151515151515151381e-01,4.275608451080767480e+00,8.702180858164869637e-01,6.854942216943419320e-01
5.454545454545454142e-01,3.883948770203080603e+00,8.548915578624577405e-01,2.001209407309245680e-02
5.757575757575758013e-01,4.320972507380368199e+00,8.387800655914716685e-01,1.252173711957516034e-04
6.060606060606060774e-01,4.405771695445146463e+00,8.218984026301699997e-01,3.065647028134144136e-02
6.363636363636363535e-01,4.433004618672541142e+00,8.042620697785239914e-01,6.314289227927799564e-01
6.666666666666667407e-01,5.271739398317548897e+00,7.858872607769479268e-01,2.147181555839239309e-02
6.969696969696970168e-01,5.085534416887384168e+00,7.667908474371524230e-01,4.123083125343610655e-01
7.272727272727272929e-01,5.252002465347282545e+00,7.469903641503894409e-01,3.090157283919404696e-01
7.575757575757575690e-01,5.523251687066625060e+00,7.265039917873151731e-01,8.455260731328028134e-01
7.878787878787878451e-01,5.511168909236651814e+00,7.053505410042533175e-01,7.085198941767902880e-01
8.181818181818182323e-01,6.135693456970283677e+00,6.835494349711864759e-01,3.228326742545150063e-01
8.484848484848485084e-01,5.812400364147833898e+00,6.611206915373364357e-01,2.563865501905119304e-01
8.787878787878787845e-01,5.839301743058637584e+00,6.380849048507069021e-01,3.026216106026469177e-02
9.090909090909091717e-01,6.598604658997447636e+00,6.144632264484672923e-01,3.562300325744233165e-01
9.393939393939394478e-01,6.152650115412019893e+00,5.902773458355402569e-01,8.368354552709051930e-01
9.696969696969697239e-01,6.123492222361416992e+00,5.655494705692241109e-01,7.382398367572300391e-01
1.000000000000000000e+00,6.892300933417872422e+00,5.403023058681397650e-01,3.497873676377191154e-01
1.030303030303030276e+00,6.634943993336833046e+00,5.145590337642211853e-01,1.276313198054356279e-01
1.060606060606060552e+00,6.513089028159519955e+00,4.883432918168963965e-01,4.604513303732120644e-01
1.090909090909090828e+00,6.681407121631579571e+00,4.616791514089996773e-01,4.569914417225925396e-01
1.121212121212121327e+00,7.590670637493003525e+00,4.345910956443467810e-01,7.261721548926709513e-01
1.151515151515151603e+00,7.156842645258529423e+00,4.071039968672669485e-01,1.947670558430316667e-01
1.181818181818181879e+00,7.938300393405432587e+00,3.792430938247312033e-01,4.065363167115865206e-01
1.212121212121212155e+00,7.490765322779989077e+00,3.510339684920502079e-01,6.310134010472934207e-02
1.242424242424242431e+00,7.780521786519788208e+00,3.225025225834181053e-01,9.518455705473415351e-01
1.272727272727272707e+00,7.780290874791781164e+00,2.936749537688708722e-01,8.727298962187712839e-02
1.303030303030302983e+00,7.858730689477788189e+00,2.645777316194973250e-01,2.382190996669342198e-01
1.333333333333333481e+00,8.045331425348294374e+00,2.352375733029891947e-01,2.221616723265287252e-01
1.363636363636363757e+00,8.280889590362090047e+00,2.056814190518482799e-01,8.494193265102476520e-01
1.393939393939394034e+00,8.855443899922288864e+00,1.759364074267728284e-01,4.818486067939208306e-01
1.424242424242424310e+00,8.652554089335424692e+00,1.460298503979400864e-01,6.436838564454435696e-01
1.454545454545454586e+00,9.097014096154266483e+00,1.159892082670629099e-01,4.162996983163744780e-01
1.484848484848484862e+00,8.769752267333545959e+00,8.584206445324789325e-02,7.132674969820861355e-01
1.515151515151515138e+00,9.326798012360757895e+00,5.561610016580673804e-02,8.096069151927306473e-01
1.545454545454545414e+00,8.916245094231367574e+00,2.533906898727637108e-02,6.196477852218136295e-01
1.575757575757575690e+00,9.530966673837799163e+00,-4.961228610014343544e-03,8.296664155533640672e-01
1.606060606060606188e+00,9.846122520332102113e+00,-3.525697079043245419e-02,6.990987925190548236e-01
1.636363636363636465e+00,9.791487171721113825e+00,-6.552033990114349005e-02,3.926581111361453491e-01
1.666666666666666741e+00,1.015938027281833911e+01,-9.572354801437565897e-02,6.575095247275574151e-01
1.696969696969697017e+00,9.589864756997089401e+00,-1.258388624423880664e-01,5.996664139177934061e-01
1.727272727272727293e+00,1.052746137122253955e+01,-1.558386312017186470e-01,6.602895863179704117e-01
1.757575757575757569e+00,1.045692862865393380e+01,-1.856953084033285961e-01,7.401493014359356026e-01
1.787878787878787845e+00,1.074508295736507613e+01,-2.153814795453309894e-01,4.937677924062061630e-01
1.818181818181818343e+00,1.084731322648045371e+01,-2.448698866850791411e-01,4.447611815136653934e-02
1.848484848484848619e+00,1.034995847701977745e+01,-2.741334534675007872e-01,8.266308181971206981e-01
1.878787878787878896e+00,1.087816267350662791e+01,-3.031453099867000844e-01,7.729789977763323883e-01
1.909090909090909172e+00,1.136569653673042346e+01,-3.318788174579952455e-01,5.144597836620378173e-01
1.939393939393939448e+00,1.133724517873824666e+01,-3.603075926777405957e-01,7.524445008172064853e-01
1.969696969696969724e+00,1.137306649912684264e+01,-3.884055322484735728e-01,6.039776001852003029e-01
2.000000000000000000e+00,1.122431918598044120e+01,-4.161468365471424069e-01,9.078638349477108349e-01
2.030303030303030276e+00,1.201464991324440135e+01,-4.435060334144070304e-01,3.492476014797446515e-01
2.060606060606060552e+00,1.163595094297934729e+01,-4.704580015432621165e-01,2.476228563789432124e-01
2.090909090909090828e+00,1.157123191099383064e+01,-4.969779935455057585e-01,2.894572132838713063e-01
2.121212121212121104e+00,1.271651842496699381e+01,-5.230416586748751762e-01,5.789372888919752658e-01
2.151515151515151381e+00,1.290435215324709972e+01,-5.486250651859839733e-01,9.190748179042117494e-01
2.181818181818181657e+00,1.278414171449997383e+01,-5.737047223085318670e-01,2.739782504650187800e-01
2.212121212121212377e+00,1.253791353176638346e+01,-5.982576018166096965e-01,1.354558418711386825e-01
2.242424242424242653e+00,1.326566693245800543e+01,-6.222611591732924996e-01,7.534343610327660645e-01
2.272727272727272929e+00,1.358026811150934421e+01,-6.456933542311118490e-01,7.748818697740215145e-01
2.303030303030303205e+00,1.340267452032692930e+01,-6.685326714693925476e-01,3.579230196065730230e-02
2.333333333333333481e+00,1.356443544555440539e+01,-6.907581397498764320e-01,8.062505636772705486e-01
2.363636363636363757e+00,1.383661940493973930e+01,-7.123493515724922398e-01,2.713642352034535410e-01
2.393939393939394034e+00,1.395112770622538534e+01,-7.332864818135917950e-01,1.299917369295359171e-01
